Episode,Reward,Steps,Completed,Deadlock
585,60.05000000000001,66,True,False
586,-460.1000000000024,500,False,False
587,-93.65,20,False,True
588,-467.9000000000024,500,False,False
589,32.550000000000054,70,True,False
590,64.85000000000002,48,True,False
591,-479.60000000000224,500,False,False
592,-479.600000000002,500,False,False
593,111.75,7,True,False
594,99.25,23,True,False
595,103.45,17,True,False
596,-497.15000000000185,500,False,False
597,107.65,11,True,False
598,-456.2000000000021,500,False,False
599,87.55,23,True,False
600,-405.5000000000021,500,False,False
601,-460.10000000000207,500,False,False
602,109.75,8,True,False
603,-432.8000000000021,500,False,False
604,101.55,16,True,False
605,-510.8000000000022,500,False,False
606,-109.65,28,False,True
607,109.45,14,True,False
608,-477.65000000000174,500,False,False
609,-442.5500000000022,500,False,False
610,-471.8000000000025,500,False,False
611,-444.50000000000256,500,False,False
612,-438.6500000000019,500,False,False
613,-448.40000000000225,500,False,False
614,91.05,31,True,False
615,-487.40000000000225,500,False,False
616,-464.0000000000022,500,False,False
617,84.74999999999999,40,True,False
618,-91.55,17,False,True
619,-485.45000000000215,500,False,False
620,-469.85000000000224,500,False,False
621,-137.04999999999995,69,False,True
622,-444.500000000002,500,False,False
623,-499.10000000000207,500,False,False
624,-95.55,19,False,True
625,-97.75,24,False,True
626,-456.2000000000023,500,False,False
627,-409.4000000000024,500,False,False
628,-120.44999999999999,49,False,True
629,107.65,11,True,False
630,95.25,25,True,False
631,-421.1000000000022,500,False,False
632,-13.14999999999985,126,True,False
633,-450.35000000000247,500,False,False
634,-458.1500000000021,500,False,False
635,-168.1499999999999,106,False,True
636,-105.85000000000001,30,False,True
637,-458.1500000000025,500,False,False
638,-142.75,66,False,True
639,-465.95000000000203,500,False,False
640,-83.64999999999999,15,False,True
641,111.65,9,True,False
642,-107.75,29,False,True
643,71.95000000000005,62,True,False
644,93.45,22,True,False
645,-91.45,15,False,True
646,-134.44999999999996,56,False,True
647,99.75,13,True,False
648,-148.74999999999994,69,False,True
649,38.45000000000002,69,True,False
650,-456.20000000000226,500,False,False
651,78.65,45,True,False
652,-440.6000000000021,500,False,False
653,-432.8000000000021,500,False,False
654,-9.849999999999767,177,True,False
655,-419.15000000000214,500,False,False
656,-440.60000000000207,500,False,False
657,-95.55,19,False,True
658,-121.94999999999999,40,False,True
659,109.45,14,True,False
660,78.74999999999999,43,True,False
661,78.64999999999999,45,True,False
662,87.25,29,True,False
663,-389.900000000002,500,False,False
664,77.05,38,True,False
665,-428.90000000000225,500,False,False
666,55.45000000000004,80,True,False
667,83.35,29,True,False
668,-460.10000000000224,500,False,False
669,103.55,15,True,False
670,-444.5000000000024,500,False,False
671,101.45,18,True,False
672,95.45,21,True,False
673,31.750000000000057,86,True,False
674,-85.44999999999999,12,False,True
675,-454.2500000000017,500,False,False
676,-91.25,11,False,True
677,103.65,13,True,False
678,97.65,16,True,False
679,111.65,9,True,False
680,107.15,21,True,False
681,77.05000000000003,38,True,False
682,-121.75,36,False,True
683,97.55000000000001,18,True,False
684,-110.05000000000001,36,False,True
685,105.75,10,True,False
686,-81.45,10,False,True
687,-413.30000000000206,500,False,False
688,-374.3000000000017,500,False,False
689,101.55,16,True,False
690,26.350000000000065,77,True,False
691,99.35,21,True,False
692,-442.5500000000024,500,False,False
693,-397.700000000002,500,False,False
694,70.85,45,True,False
695,95.55,19,True,False
696,97.65,16,True,False
697,93.65,18,True,False
698,-428.90000000000225,500,False,False
699,105.35000000000001,18,True,False
700,99.75,13,True,False
701,-465.9500000000019,500,False,False
702,-460.1000000000023,500,False,False
703,-428.90000000000214,500,False,False
704,99.55,17,True,False
705,-105.45,22,False,True
706,97.65,16,True,False
